English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
Hill Partridge ,Arborophila torqueola ,LC,LC,r,3
Common Quail ,Coturnix coturnix ,LC,LC,r,3
Black Francolin ,"Francolinus
francolinus",LC,LC,r,1
Grey Francolin ,"Francolinus
pondicerianus",VU ,LC,r,1
Swamp Francolin ,Francolinus gularis ,VU ,EN ,r,5
Indian Peafowl ,Pavo cristatus ,NT ,LC,r,1
Red Junglefowl ,Gallus gallus ,LC,LC,r,1
Kalij Pheasant ,"Lophura
leucomelanos",LC,LC,r,2
Lesser Whistling Duck ,"Dendrocygna
javanica",LC,LC,r,2
Bar-headed Goose ,Anser indicus ,NT ,LC,w,4
Greylag Goose ,Anser anser ,NT ,LC,w,5
Common Goldeneye ,Bucephala clangula ,LC,LC,w,5
Goosander ,Mergus merganser ,LC,LC,w,2
Ruddy Shelduck ,Tadorna ferruginea ,NT ,LC,w,1
Common Shelduck ,Tadorna tadorna ,LC,LC,w ,5
African Comb Duck ,"Sarkidiornis
melanotos",EN ,LC,r,5
Cotton Pygmy-goose ,"Nettapus
coromandelianus",VU ,LC,r,3
Red-crested Pochard ,Rhodonessa rufina ,LC,LC,w,3
Common Pochard ,Aythya ferina ,VU ,NT ,w,3
Ferruginous Duck ,Aythya nyroca ,VU ,LC,w,3
Tufted duck ,Aythya fuligula ,LC,LC,w,3
Garganey ,Anas querquedula ,VU ,LC,w,3
Northern Shoveler ,Anas clypeata ,LC,LC,w,3
Gadwall ,Anas strepera ,LC,LC,w,2
Eurasian Wigeon ,Anas penelope ,LC,LC,w,3
Indian Spot-billed Duck ,Anas poecilorhyncha ,NT ,LC,w,4
Mallard ,Anas platyrhynchos ,LC,LC,w,2
Northern Pintail ,Anas acuta ,EN ,LC,w,2
Common Teal ,Anas crecca ,LC,LC,w,2
Little Grebe ,Tachybaptus ruficollis ,LC,LC,w,3
Great Crested Grebe ,Podiceps cristatus ,LC,LC,w,3
Common Woodpigeon ,Columba palumbus ,LC,LC,v,1
Oriental Turtle-dove ,"Streptopelia
orientalis",LC,LC,r,2
Eurasian Collared-dove ,Streptopelia decaocto ,LC,LC,r,1
Red Turtle-dove ,"Streptopelia
tranquebarica",LC,LC,r,1
Western Spotted Dove ,Spilopelia suratensis ,LC,LC,r,1
Laughing Dove ,"Spilopelia
senegalensis",LC,LC,r,3
"Grey-capped Emerald
Dove",Chalcophaps indica ,LC,LC,r,2
"Orange-breasted Green
pigeon",Treron bicinctus ,LC,LC,r,3
"Ashy-headed Green
pigeon",Treron phayrei ,NT ,LC,r,2
"Yellow-footed Green
pigeon","Treron
phoenicopterus",LC,LC,r,2
Pin-tailed Green-pigeon ,Treron apicauda ,NT ,LC,r,3
"Wedge-tailed Green
pigeon",Treron sphenurus ,LC,LC,r,4
Grey Nightjar ,Caprimulgus jotaka ,LC,LC,r,4
Large-tailed Nightjar ,"Caprimulgus
macrurus",NT ,LC,r,2
Indian Nightjar ,Caprimulgus asiaticus ,EN ,LC,r,4
Savanna Nightjar ,Caprimulgus affinis ,NT ,LC,r,2
Crested Treeswift ,Hemiprocne coronata ,LC,LC,r,2
White-rumped Spinetail ,Zoonavena sylvatica ,NT ,LC,r,2
"White-throated
Needletail","Hirundapus
caudacutus",LC,LC,w,4
Himalayan Swiftlet ,"Aerodramus
brevirostris",LC,LC,w,3
Asian Palm-swift ,Cypsiurus balasiensis ,LC,LC,r,2
Alpine Swift ,Tachymarptis melba ,LC,LC,w,3
House Swift ,Apus nipalensis ,LC,LC,r,1
Greater Coucal ,Centropus sinensis ,LC,LC,r,1
Lesser Coucal ,"Centropus
bengalensis",LC,LC,r,2
Sirkeer Malkoha ,"Taccocua
leschenaultii",LC,LC,r,3
Green-billed Malkoha ,"Phaenicophaeus
tristis",LC,LC,r,3
Jacobin Cuckoo ,Clamator jacobinus ,LC,LC,s,2
Western Koel ,"Eudynamys
scolopaceus",LC,LC,r,1
Banded Bay Cuckoo ,"Cacomantis
sonneratii",LC,LC,r,3
Grey-bellied Cuckoo ,"Cacomantis
passerinus",LC,LC,s,3
"Fork -tailed Drongo
Cuckoo",Surniculus lugubris ,LC,LC,s,3
Whistling Hawk-cuckoo ,Hierococcyx nisicolor ,LC,LC,s,5
Common Hawk-cuckoo ,Hierococcyx varius ,LC,LC,r,2
Indian Cuckoo ,Cuculus micropterus ,LC,LC,s,1
Common Cuckoo ,Cuculus canorus ,LC,LC,s,2
Plaintive Cuckoo ,"Cacomantis
merulinus",LC,LC,s,4
Western Water Rail ,Rallus aquaticus ,CR ,LC,w,4
Ruddy-breasted Crake ,Zapornia fusca ,LC,LC,r,2
Brown Crake ,Zapornia akool ,LC,LC,r,2
"White-breasted
Waterhen","Amaurornis
phoenicurus",LC,LC,r,1
Watercock ,Gallicrex cinerea ,NT ,LC,s,3
Purple Swamphen ,Porphyrio porphyrio ,LC,LC,s,2
Common Moorhen ,Gallinula chloropus ,LC,LC,s,2
Common Coot ,Fulica atra ,LC,LC,s,2
Sarus Crane ,Antigone antigone ,VU ,VU ,r,4
Demoiselle Crane ,Anthropoides virgo ,VU ,LC,v,2
Common Crane ,Grus grus ,NT ,LC,v,2
Bengal Florican ,"Houbaropsis
bengalensis",CR ,CR ,r,5
Lesser Florican ,Sypheotides indicus ,EN ,CR ,s,5
Lesser Adjutant ,Leptoptilos javanicus ,VU ,VU ,r,2
Painted Stork ,"Mycteria
leucocephala",EN ,LC,r,4
Asian Openbill ,Anastomus oscitans ,VU ,LC,r,1
Black Stork ,Ciconia nigra ,VU ,LC,w,2
Asian Woollyneck ,Ciconia episcopus ,VU ,NT ,r,3
White Stork ,Ciconia ciconia ,LC,LC,v,2
Black-necked Stork ,"Ephippiorhynchus
asiaticus",CR ,LC,r,4
"Black-crowned Night
heron",Nycticorax nycticorax ,LC,LC,r,2
Indian Pond Heron ,Ardeola grayii ,LC,LC,r,1
Grey Heron ,Ardea cinerea ,LC,LC,w,2
Purple Heron ,Ardea purpurea ,LC,LC,r,3
Great White Egret ,Casmerodius albus ,LC,LC,r,1
Intermediate Egret ,"Mesophoyx
intermedia",LC,LC,r,1
Little Cormorant ,Phalacrocorax niger ,LC,LC,r,1
Great Cormorant ,"Phalacrocorax
fusicollis",NT ,LC,w,1
Indian Thick-knee ,Burhinus indicus ,LC,LC,r,2
Great Thick-knee ,Esacus recurvirostris ,CR ,LC,r,4
Pacific Golden Plover ,Pluvialis fulva ,NT ,LC,w,4
Little Ringed Plover ,Charadrius dubius ,LC,LC,r,1
Red-wattled Lapwing ,Vanellus indicus ,LC,LC,r,1
Greater Painted-snipe ,"Rostratula
benghalensis",LC,LC,r,4
Eurasian Curlew ,Numenius arquata ,CR ,LC,w,4
Little Stint ,Calidris minuta ,LC,LC,w,3
Common Snipe ,Gallinago gallinago ,LC,LC,r,2
Green Sandpiper ,Tringa ochropus ,LC,LC,w,1
Common Redshank ,Tringa totanus ,LC,LC,w,2
Wood Sandpiper ,Tringa glareola ,LC,LC,w,3
Common Buttonquail ,Turnix sylvaticus ,NT ,LC,r,4
Barred Buttonquail ,Turnix suscitator ,LC,LC,r,3
Oriental Pratincole ,Glareola maldivarum ,NT ,LC,r,5
Little Pratincole ,Glareola lactea ,NT ,LC,r,1
Brown-headed Gull ,Larus brunnicephalus ,VU ,LC,w,3
Black-headed Gull ,Larus ridibundus ,VU ,LC,w,3
Pallas's Gull ,Larus ichthyaetus ,LC,LC,w,3
Lesser Black-backed Gull ,Larus fuscus ,LC,LC,w,4
Caspian Tern ,Hydroprogne caspia ,CR ,LC,w,4
River Tern ,Sterna aurantia ,CR ,LC,r,4
Black-bellied Tern ,Sterna acuticauda ,EN ,CR ,r,4
Eastern Grass-owl ,Tyto longimembris ,CR ,LC,r,4
Brown Boobook ,Ninox scutulata ,LC,LC,r,2
Collared Owlet ,Glaucidium brodiei ,LC,LC,r,3
Asian Barred Owlet ,"Glaucidium
cuculoides",LC,LC,r,3
Jungle Owlet ,Glaucidium radiatum ,LC,LC,r,1
Spotted Owlet ,Athene brama ,LC,LC,r,1
Collared Scops-owl ,Otus lettia ,LC,LC,r,3
Oriental Scops-owl ,Otus sunia ,LC,LC,r,2
Short-eared Owl ,Asio flammeus ,VU ,LC,w,4
Brown Wood-owl ,Strix leptogrammica ,VU ,LC,r,4
Mottled Wood Owl ,Strix ocellata ,LC,LC,r,4
Rock Eagle-owl ,Bubo bengalensis ,VU ,LC,r,4
Spot-bellied Eagle-owl ,Bubo nipalensis ,EN ,LC,r,4
Dusky Eagle-owl ,Bubo coromandus ,CR ,LC,r,4
Brown Fish-owl ,Ketupa zeylonensis ,VU ,LC,r,3
Osprey ,Pandion haliaetus ,LC,LC,w,2
Black-winged Kite ,Elanus caeruleus ,LC,LC,r,2
Oriental Honey-buzzard ,Pernis ptilorhynchus ,LC,LC,r,2
Black Baza ,Aviceda leuphotes ,NT ,LC,r,3
Crested Serpent-eagle ,Spilornis cheela ,LC,LC,r,1
Short-toed Snake-eagle ,Circaetus gallicus ,LC,LC,w,3
Bearded Vulture ,Gypaetus barbatus ,VU ,LC,v,2
Egyptian Vulture ,"Neophron
percnopterus",EN ,VU ,r,3
Red-headed Vulture ,Sarcogyps calvus ,CR ,EN ,r,3
Himalayan Griffon ,Gyps himalayensis ,VU ,LC,w,2
White-rumped Vulture ,Gyps bengalensis ,CR ,CR ,r,2
Slender-billed Vulture ,Gyps tenuirostris ,CR ,CR ,r,3
Cinereous Vulture ,Aegypius monachus ,EN ,LC,w,3
Mountain Hawk Eagle ,Nisaetus nipalensis ,LC,LC,r,3
Changeable Hawk Eagle ,Nisaetus cirrhatus ,LC,LC,r,2
Rufous-bellied Eagle ,"Lophotriorchis
kienerii",CR ,LC,r,4
Black Eagle ,Ictinaetus malaiensis ,LC,LC,w,4
Indian Spotted Eagle ,Clanga hastata ,VU ,VU ,r,3
Greater Spotted Eagle ,Clanga clanga ,VU ,VU ,w,4
Tawny Eagle ,Aquila rapax ,VU ,LC,w,5
Steppe Eagle ,Aquila nipalensis ,EN ,VU ,w,3
Eastern Imperial Eagle ,Aquila heliaca ,VU ,CR ,w,5
Golden Eagle ,Aquila chrysaetos ,VU ,LC,w,5
Bonelli's Eagle ,Aquila fasciata ,LC,LC,r,4
Bootted Eagle ,Hieraaetus pennatus ,LC,LC,w,3
Besra ,Accipiter virgatus ,LC,LC,r,3
Eastern Marsh-harrier ,Circus spilonotus ,VU ,LC,W,3
Hen Harrier ,Circus cyaneus ,VU ,LC,w,2
Pallid Harrier ,Circus macrourus ,VU ,LC,w,4
Pied Harrier ,Circus melanoleucos ,VU ,LC,w,4
Eurasian Sparrowhawk ,Accipiter nisus ,LC,LC,r,3
Northern Goshawk ,Accipiter gentilis ,LC,LC,r,4
Pallas's Fish-eagle ,"Haliaeetus
leucoryphus",EN ,CR ,w,4
White-tailed Sea-eagle ,Haliaeetus albicilla ,CR ,LC,w,4
Lesser Fish-eagle ,Icthyophaga humilis ,CR ,LC,r,5
Grey-headed Fish-eagle ,"Icthyophaga
ichthyaetus",CR ,LC,r,3
Brahminy Kite ,Haliastur indus ,CR ,LC,r,4
Black Kite ,Milvus migrans ,LC,LC,r,1
White-eyed Buzzard ,Butastur teesa ,LC,LC,r,2
Himalayan Buzzard ,Buteo refectus ,LC,LC,w,2
Long-legged Buzzard ,Buteo rufinus ,LC,LC,w,4
Great Hornbill ,Buceros bicornis ,VU ,EN ,r,3
Indian Grey Hornbill ,Ocyceros birostris ,LC,LC,r,1
Oriental Pied Hornbill ,"Anthracoceros
albirostris",NT ,LC,r,1
Common Hoopoe ,Upupa epops ,LC,LC,w,2
Blue-bearded Bee-eater ,Nyctyornis athertoni ,LC,LC,r,3
Asian Green Bee-eater ,Merops orientalis ,LC,LC,r,1
"Chestnut-headed Bee
eater",Merops leschenaulti ,LC,LC,s,1
Blue-tailed Bee-eater ,Merops philippinus ,LC,LC,s,1
Indian Roller ,"Coracias
benghalensis",LC,LC,r,1
Oriental Dollarbird ,Eurystomus orientalis ,LC,LC,s,1
Blue-eared Kingfisher ,Alcedo meninting ,EN ,LC,r,3
Common Kingfisher ,Alcedo atthis ,LC,LC,r,1
Crested Kingfisher ,Megaceryle lugubris ,LC,LC,r,3
Pied Kingfisher ,Ceryle rudis ,LC,LC,r,1
Stork-billed Kingfisher ,Pelargopsis capensis ,LC,LC,r,2
"White-breasted
Kingfisher",Halcyon smyrnensis ,LC,LC,r,1
Black-capped Kingfisher ,Halcyon pileata ,LC,LC,w,4
Coppersmith Barbet ,"Psilopogon
haemacephalus",LC,LC,r,2
Great Barbet ,Psilopogon virens ,LC,LC,r,3
Lineated Barbet ,Psilopogon lineatus ,LC,LC,r,3
Brown-headed Barbet ,"Psilopogon
zeylanicus",LC,LC,r,1
Blue-throated Barbet ,Psilopogon asiaticus ,LC,LC,r,2
Eurasian Wryneck ,Jynx torquilla ,LC,LC,w,3
Speckled Piculet ,"Picumnus
innominatus",LC,LC,r,3
Greater Flameback ,"Chrysocolaptes
guttacristatus",LC,LC,r,2
"White-naped
Woodpecker","Chrysocolaptes
festivus",LC,LC,r,4
Himalayan Flameback ,Dinopium shorii ,LC,LC,r,1
Black-rumped Flameback ,"Dinopium
benghalense",LC,LC,r,1
Greater Yellownape ,"Chrysophlegma
flavinucha",LC,LC,r,3
Lesser Yellownape ,Picus chlorolophus ,LC,LC,r,3
"Streak-throated
Woodpecker",Picus xanthopygaeus ,LC,LC,r,2
"Black-naped
Woodpecker",Picus guerini ,LC,LC,r,2
"Scaly-bellied
Woodpecker",Picus squamatus ,LC,LC,r,4
Great Slaty Woodpecker ,"Mulleripicus
pulverulentus",VU ,EN ,r,3
"Grey-capped
Woodpecker",Picoides canicapillus ,LC,LC,r,3
"Indian Pygmy
Woodpecker",Picoides nanus ,LC,LC,r,2
"Yellow-crowned
Woodpecker","Leiopicus
mahrattensis",LC,LC,r,2
"Fulvous-breasted
Woodpecker",Dendrocopos macei ,LC,LC,r,2
Collared Falconet ,"Microhierax
caerulescens",NT ,LC,r,2
Common Kestrel ,Falco tinnunculus ,LC,LC,r,2
Eurasian Hobby ,Falco subbuteo ,LC,LC,s,4
Oriental Hobby ,Falco severus ,CR ,LC,s,5
Laggar Falcon ,Falco jugger ,CR ,LC,w,5
Peregrine Falcon ,Falco peregrinus ,I ,LC,r,2
Slaty-headed Parakeet ,Psittacula himalayana ,LC,LC,r,3
Plum-headed Parakeet ,"Psittacula
cyanocephala",LC,LC,r,1
Red-breasted Parakeet ,Psittacula alexandri ,VU ,LC,r,2
Alexandrine Parakeet ,Psittacula eupatria ,NT ,LC,r,1
Rose-ringed Parakeet ,Psittacula krameri ,LC,LC,r,1
Indian Pitta ,Pitta brachyura ,LC,LC,s,2
Western Hooded Pitta ,Pitta sordida ,VU ,LC,s,2
Long-tailed Broadbill ,"Psarisomus
dalhousiae",LC,LC,r,3
Indian Golden Oriole ,Oriolus kundoo ,LC,LC,s,2
Slender-billed Oriole ,Oriolus tenuirostris ,LC,LC,w,5
"White-browed Shrike
babbler",Pteruthius aeralatus ,LC,LC,r,4
White-bellied Erpornis ,Erpornis zantholeuca ,LC,LC,r,2
Small Minivet ,"Pericrocotus
cinnamomeus",LC,LC,r,1
Grey-chinned Minivet ,Pericrocotus solaris ,LC,LC,v,2
Short-billed Minivet ,"Pericrocotus
brevirostris",LC,LC,w,4
Long-tailed Minivet ,"Pericrocotus
ethologus",LC,LC,r,3
Scarlet Minivet ,"Pericrocotus
flammeus",LC,LC,w,1
Rosy Minivet ,Pericrocotus roseus ,LC,LC,r,4
Indian Cuckooshrike ,Coracina macei ,LC,LC,r,1
"Black-winged
Cuckooshrike",Lalage melaschistos ,LC,LC,r,2
"Black-headed
Cuckooshrike",Lalage melanoptera ,LC,LC,r,3
